program,title,link,upvotes,bounty
Flash (IBB),Adobe Flash Player ContentFactory class Memory Corruption Vulnerability,hackerone.com/reports/138516,1,2000.0
Flash (IBB),Adobe Flash Player OpportunityGenerator class Memory Corruption Vulnerability,hackerone.com/reports/138518,1,2000.0
Flash (IBB),Adobe Flash Player Metadata class Memory Corruption Vulnerability,hackerone.com/reports/138517,1,2000.0
Flash (IBB),Adobe Flash Player ShimContentFactory class Memory Corruption Vulnerability,hackerone.com/reports/145265,2,2000.0
Flash (IBB),Adobe Flash Player ShimContentFactory.retrieveResolvers Memory Corruption Vulnerability,hackerone.com/reports/145266,2,2000.0
Flash (IBB),Adobe Flash Player ShimContentResolver.configure Memory Corruption Vulnerability,hackerone.com/reports/145267,1,2000.0
Flash (IBB),Adobe Flash Player ShimOpportunityGenerator class Memory Corruption Vulnerability,hackerone.com/reports/145269,1,2000.0
Flash (IBB),Adobe Flash Player ShimContentResolver(resolverType=0) class Memory Corruption Vulnerability,hackerone.com/reports/145271,1,2000.0
Flash (IBB),Adobe Flash Player ShimContentResolver(resolverType=1) class Memory Corruption Vulnerability,hackerone.com/reports/145272,1,2000.0
Flash (IBB),Adobe Flash Player TimedEvent.parent Memory Corruption Vulnerability,hackerone.com/reports/151039,1,5000.0
Flash (IBB),Adobe Flash Player ShimAdPolicySelector(adPolicySelectorType=0) class Memory Corruption,hackerone.com/reports/151040,1,2000.0
Flash (IBB),Adobe Flash Player PSDK Class Use After Free Vulnerability,hackerone.com/reports/151043,4,5000.0
Flash (IBB),Adobe Flash Player Regular Expression UAF Remote Code Execution Vulnerability,hackerone.com/reports/139879,1,5000.0
Flash (IBB),User credentials leak and arbitrary local file read/leak due to same-origin-policy violation,hackerone.com/reports/136454,1,3000.0
Perl (IBB),Perl $ENV Key Stack Buffer Overflow,hackerone.com/reports/272497,4,1500.0
PHP (IBB),Stack overflow when decompressing tar archives,hackerone.com/reports/114024,0,500.0
PHP (IBB),openssl_seal() uninitialized memory usage,hackerone.com/reports/114414,0,1000.0
PHP (IBB),Arbitary Memory Read via gdImageRotateInterpolated Array Index Out of Bounds,hackerone.com/reports/110720,1,500.0
PHP (IBB),Heap BufferOver Flow in escapeshellargs and escapeshellcmd functions,hackerone.com/reports/110722,2,500.0
PHP (IBB),"An integer overflow bug in php_implode() could lead heap overflow, make PHP to crash",hackerone.com/reports/113120,1,500.0
PHP (IBB),PHP-FPM fpm_log.c memory leak and buffer overflow,hackerone.com/reports/112723,1,500.0
PHP (IBB),An integer overflow bug in php_str_to_str_ex() led arbitrary code execution.,hackerone.com/reports/113122,1,500.0
PHP (IBB),"Use-after-free vulnerability in SPL(ArrayObject, unserialize)",hackerone.com/reports/114078,1,1000.0
PHP (IBB),"Use-after-free vulnerability in SPL(SplObjectStorage, unserialize)",hackerone.com/reports/114079,1,1000.0
PHP (IBB),Trivial age-old heap overflow in 32-bit PHP,hackerone.com/reports/112863,1,500.0
PHP (IBB),Multiple vulnerabilities related to PCRE functions (already fixed),hackerone.com/reports/141839,1,500.0
PHP (IBB),_php_mb_regex_ereg_replace_exec - double free,hackerone.com/reports/146200,1,500.0
PHP (IBB),Invalid free in phar_extract_file(),hackerone.com/reports/146202,1,1000.0
PHP (IBB),Heap Overflow Due To Integer Overflow,hackerone.com/reports/146360,1,1000.0
PHP (IBB),Double Free Corruption in wddx.c (extension),hackerone.com/reports/146255,1,500.0
PHP (IBB),Integer Overflow in _gd2GetHeader() resulting in heap overflow,hackerone.com/reports/143234,1,500.0
PHP (IBB),NULL Pointer Dereference at _gdScaleVert,hackerone.com/reports/146944,1,500.0
PHP (IBB),Integer Overflow in gdImagePaletteToTrueColor() resulting in heap overflow,hackerone.com/reports/147125,1,500.0
PHP (IBB),Stack-based buffer overflow vulnerability in php_stream_zip_opener,hackerone.com/reports/152278,1,1000.0
PHP (IBB),Stack-based buffer overflow vulnerability in virtual_file_ex,hackerone.com/reports/152280,2,1000.0
PHP (IBB),Inadequate error handling in bzread(),hackerone.com/reports/152772,1,1500.0
PHP (IBB),heap-buffer-overflow (write) simplestring_addn simplestring.c,hackerone.com/reports/153863,2,500.0
PHP (IBB),php mcrypt ext - In correct casting from size_t to int lead to heap overflow in mdecrypt_generic,hackerone.com/reports/152400,9,1000.0
PHP (IBB),In correct casting from size_t to int lead to heap overflow in mcrypt_generic,hackerone.com/reports/152398,58,1000.0
PHP (IBB),php curl ext size_t overflow lead to heap corruption,hackerone.com/reports/152399,13,1000.0
PHP (IBB),integer overflow in base64_decode caused heap corruption,hackerone.com/reports/159954,4,500.0
PHP (IBB),integer overflow in bzdecompress caused heap corruption,hackerone.com/reports/159955,4,500.0
PHP (IBB),Integer overflow lead to heap corruption in sql_regcase,hackerone.com/reports/159958,4,500.0
PHP (IBB),integer overflow in quoted_printable_encode caused heap corruption,hackerone.com/reports/159959,4,500.0
PHP (IBB),integer overflow in urlencode caused heap corruption,hackerone.com/reports/159960,4,500.0
PHP (IBB),Heap Overflow due to integer overflows,hackerone.com/reports/159988,1,500.0
PHP (IBB),integer overflow in php_uuencode caused heap corruption,hackerone.com/reports/159961,4,500.0
PHP (IBB),Out of bound when verify signature of zip phar in phar_parse_zipfile,hackerone.com/reports/167895,1,500.0
PHP (IBB),Out of bound when verify signature of tar phar in phar_parse_tarfile,hackerone.com/reports/167896,1,500.0
PHP (IBB),Heap overflow in curl_escape,hackerone.com/reports/160295,1,500.0
PHP (IBB),Memory Leakage In exif_process_IFD_in_TIFF (CVE-2016-7128),hackerone.com/reports/160294,1,1000.0
PHP (IBB),integer overflow in pg_escape_string caused heap corruption,hackerone.com/reports/167901,4,500.0
PHP (IBB),integer overflow in php_ldap_do_escape caused heap corruption,hackerone.com/reports/167902,4,500.0
PHP (IBB),heap overflow in substr_replace,hackerone.com/reports/167904,7,500.0
PHP (IBB),integer overflow in str_pad caused heap corruption,hackerone.com/reports/167903,4,500.0
PHP (IBB),integer overflow in pg_escape_bytea caused heap corruption,hackerone.com/reports/167905,4,500.0
PHP (IBB),integer overflow in imap_binary caused heap corruption,hackerone.com/reports/167906,7,500.0
PHP (IBB),integer overflow in preg_quote caused heap corruption,hackerone.com/reports/167907,3,500.0
PHP (IBB),integer overflow in fgets cause heap corruption,hackerone.com/reports/167908,4,500.0
PHP (IBB),integer overflow in recode_string caused heap corruption,hackerone.com/reports/167909,2,500.0
PHP (IBB),memory corruption in wordwrap function,hackerone.com/reports/167910,5,500.0
PHP (IBB),integer overflow in fgetcsv caused heap corruption,hackerone.com/reports/167911,5,500.0
PHP (IBB),integer overflow in xml_utf8_encode,hackerone.com/reports/167921,1,500.0
PHP (IBB),Missing type check when unserializing SplArray,hackerone.com/reports/167977,1,500.0
PHP (IBB),gzdecode does NOT check output string size which leads to an overflow,hackerone.com/reports/168027,1,500.0
PHP (IBB),gzuncompress does NOT check output string size which leads to an overflow,hackerone.com/reports/168028,1,500.0
PHP (IBB),Uninitialized Thumbail Data Leads To Memory Leakage in exif_process_IFD_in_TIFF,hackerone.com/reports/167888,3,1000.0
PHP (IBB),integer overflow in curl_escape caused heap corruption,hackerone.com/reports/159953,4,500.0
PHP (IBB),ldap_escape could produce string larger than 2Gb,hackerone.com/reports/168029,2,500.0
PHP (IBB),Stack Buffer Overflow in GD dynamicGetbuf,hackerone.com/reports/175587,1,1500.0
PHP (IBB),php_snmp_parse_oid integer overflow in memory allocation,hackerone.com/reports/178094,1,500.0
PHP (IBB),Heap overflow in mysqlnd related to BIT fields (CVE-2016-7412),hackerone.com/reports/176279,40,1000.0
PHP (IBB),malloc negative size parameter,hackerone.com/reports/181073,1,500.0
PHP (IBB),crash in locale_compose() function,hackerone.com/reports/180814,2,500.0
PHP (IBB),Invalid memory access in spl_filesystem_info_set_filename function,hackerone.com/reports/180592,1,500.0
PHP (IBB),Invalid memory access in php_basename function,hackerone.com/reports/180591,1,500.0
PHP (IBB),Invalid memory access in spl_filesystem_dir_open function,hackerone.com/reports/180590,1,500.0
PHP (IBB),crash in simplestring_addn function,hackerone.com/reports/180589,1,500.0
PHP (IBB),Invalid memory access in zend_strtod() function,hackerone.com/reports/180588,1,500.0
PHP (IBB),Heap overflow due to integer overflow in php_escape_html_entities_ex() function,hackerone.com/reports/180582,1,500.0
PHP (IBB),Heap overflow due to integer overflow in pg_escape_string() function,hackerone.com/reports/180584,1,500.0
PHP (IBB),Memory corruption due to missing check size in _php_math_number_format_ex(),hackerone.com/reports/180572,1,500.0
PHP (IBB),Heap overflow due to integer overflow in bzdecompress() function,hackerone.com/reports/180563,1,500.0
PHP (IBB),Memory corruption in _php_math_number_format_ex(),hackerone.com/reports/180562,1,500.0
PHP (IBB),CachingIterator null dereference when convert to string,hackerone.com/reports/176226,1,500.0
PHP (IBB),another crash in locale_get_keywords function,hackerone.com/reports/180116,1,500.0
PHP (IBB),crash in locale_get_keywords() when keyword value in locale string too long,hackerone.com/reports/180115,1,500.0
PHP (IBB),crash in get_icu_value_internal function,hackerone.com/reports/180113,1,500.0
PHP (IBB),crash in bzcompress function,hackerone.com/reports/180111,1,500.0
PHP (IBB),iconv() function missing string length check,hackerone.com/reports/180112,1,500.0
PHP (IBB),crash in implode() function,hackerone.com/reports/180110,1,500.0
PHP (IBB),heap overflow in php_ereg_replace function,hackerone.com/reports/175264,1,500.0
PHP (IBB),missing NULL check in dom_document_save_html,hackerone.com/reports/175260,1,500.0
PHP (IBB),crash in gzcompress and 3 other compress functions,hackerone.com/reports/180109,2,500.0
PHP (IBB),crash in openssl_random_pseudo_bytes function,hackerone.com/reports/175263,1,500.0
PHP (IBB),NULL pointer dereference in SimpleXMLElement::asXML(),hackerone.com/reports/175262,1,500.0
PHP (IBB),Invalid read when wddx decodes empty boolean element,hackerone.com/reports/188661,1,500.0
PHP (IBB),3 heap corruptions in PHP,hackerone.com/reports/188102,1,1500.0
PHP (IBB),NULL Pointer Dereference while unserialize php object,hackerone.com/reports/195688,1,500.0
PHP (IBB),Potential infinite loop in gdImageCreateFromGifCtx!,hackerone.com/reports/305972,5,500.0
PHP (IBB),Inappropriately parsing HTTP response leads to PHP segment fault!,hackerone.com/reports/305973,5,500.0
PHP (IBB),Inappropriate URL parsing may cause security risk!,hackerone.com/reports/305974,34,1000.0
Python (IBB),UAF in xmlparser_setevents (1),hackerone.com/reports/112858,1,500.0
Python (IBB),UAF,hackerone.com/reports/112860,2,500.0
Python (IBB),EIP control using type confusion in json encoding,hackerone.com/reports/112855,1,1000.0
Python (IBB),integer overflow in the _csv module's join_append_data function,hackerone.com/reports/159686,0,1000.0
Python (IBB),integer overflow in binascii.b2a_qp,hackerone.com/reports/159687,1,500.0
Python (IBB),Py_DECREF on a non-owned object in the _sre module,hackerone.com/reports/159693,1,500.0
Python (IBB),stack buffer overflows in the curses module,hackerone.com/reports/159690,2,500.0
Python (IBB),Two vulnerabilities in the ssl module,hackerone.com/reports/159696,1,500.0
Python (IBB),null pointer dereference in set_conversion_mode due uncheck _ctypes_conversion_errors,hackerone.com/reports/166080,3,500.0
Python (IBB),use of uninitialized variables in operator.methodcaller,hackerone.com/reports/163087,1,500.0
Python (IBB),Additional information for CVE-2016-5699,hackerone.com/reports/165154,1,1000.0
Python (IBB),Multiple use after frees in obj2ast_* methods,hackerone.com/reports/172115,2,500.0
Python (IBB),Incorrect GC behavior in xxlimited could lead to use-after-free,hackerone.com/reports/203002,1,500.0
Python (IBB),Heap Buffer Overflow,hackerone.com/reports/150626,1,500.0
Python (IBB),Use-after-free in _asyncio_Future_remove_done_callback,hackerone.com/reports/216151,2,500.0
Python (IBB),Urllib connects to a wrong host,hackerone.com/reports/305978,3,500.0
Avito,Open Redirect via login avito.ru | Protection bypass,hackerone.com/reports/355558,15,0.0
Nextcloud,Nextcloud Clickjacking Vulnerability,hackerone.com/reports/710996,1,0.0
Nextcloud,Username Enumeration,hackerone.com/reports/667613,0,0.0
Nextcloud,Clickjacking on https://download.nextcloud.com,hackerone.com/reports/658011,0,0.0
Nextcloud,Clickjacking on https://nextcloud.com/,hackerone.com/reports/661768,0,0.0
Nextcloud,Clickjacking on https://download.nextcloud.com/,hackerone.com/reports/662155,1,0.0
Nextcloud,WordPress Plugin Insert or Embed Articulate Content into WordPress Remote Code Execution (UNAUTHORIZED),hackerone.com/reports/696198,0,0.0
Nextcloud,XSS On Nextcloud Integrated with zimbra drive,hackerone.com/reports/498852,2,0.0
YouPorn,IDOR allows any user to edit others videos,hackerone.com/reports/681473,130,1500.0
HackerOne,latest_activity_id and latest_activity_at may disclose information about internal activities to unauthorized users,hackerone.com/reports/724944,63,1000.0
Slack,CSS Injection to disable app &amp; potential message exfil,hackerone.com/reports/679969,27,500.0
Ubiquiti Inc.,Privilege Escalation From user to SYSTEM via unauthenticated command execution,hackerone.com/reports/544928,231,16109.0
HackerOne,Searching from Hacktivity returns hits for words in limited disclosure reports that are not visible,hackerone.com/reports/685909,76,2500.0
"OWOX, Inc.",Session is not expire after logout,hackerone.com/reports/709378,10,0.0
Shopify,Stored XSS in https://productreviews.shopifyapps.com/proxy/v4/reviews/product,hackerone.com/reports/168458,24,500.0
Shopify,Ability to verify any email address you don't own - accounts.shopify.com,hackerone.com/reports/229619,53,500.0
Shopify,"Removed staff members who had ""Manage shops"" permission can still create development stores",hackerone.com/reports/254588,32,500.0
Shopify,H1514 Stored XSS in Return Magic App portal content,hackerone.com/reports/420459,18,750.0
Shopify,Stored XSS in private message,hackerone.com/reports/729424,80,1000.0
Apache httpd (IBB),mod_remoteip stack buffer overflow and NULL pointer dereference,hackerone.com/reports/674540,5,500.0
Razer,"2FA doesn't work in ""https://insider.razer.com""",hackerone.com/reports/701901,64,200.0
Grammarly,Permissive CORS policy trusting arbitrary extensions origin,hackerone.com/reports/412490,23,500.0
Shopify,Shopify's SF and LA offices Dashboard Information disclosed via Public Gist,hackerone.com/reports/729040,9,500.0
Liberapay,Private target account appears in search results,hackerone.com/reports/708696,11,0.0
Twitter,Access MoPub Reports Data even after Company removed you from their MoPub Account.,hackerone.com/reports/399174,11,140.0
QIWI,[qiwi.me] No limits on image download requests,hackerone.com/reports/227806,9,100.0
QIWI,Nickname disclosure through web-chat,hackerone.com/reports/569350,11,150.0
QIWI,https://teamplay.qiwi.com/ накрутка баллов =&gt; финансовые убытки для компании,hackerone.com/reports/441204,2,500.0
QIWI,Обход комиссии при оплате картой,hackerone.com/reports/654851,28,1000.0
QIWI,Обход комиссии на переводы,hackerone.com/reports/691766,19,1000.0
QIWI,Каким-то образом получил чужой платеж к себе на копилку https://qiwi.me/undefined,hackerone.com/reports/487296,9,50.0
Liberapay,Invalidate session after password reset,hackerone.com/reports/678050,2,0.0
Shopify,H1514 Extract information about other sites (new sites) through Affiliate/Referral pages,hackerone.com/reports/423506,18,1000.0
Shopify,H1514 DOM XSS on checkout.shopify.com via postMessage handler on /:id/sandbox/google_maps,hackerone.com/reports/423218,41,500.0
Shopify,H1514 Ability to MiTM Shopify PoS Session to Takeover Communications,hackerone.com/reports/423467,237,13337.0
Shopify,H1514 Get access to non public information by pivoting with graphql queries,hackerone.com/reports/423388,8,1500.0
OLX,Reflected XSS on www.olx.co.id via ad_type parameter,hackerone.com/reports/633751,11,0.0
OLX,Reflected XSS on m.olx.co.id via ad_type parameter,hackerone.com/reports/636278,10,0.0
PuTTY (European Commission - DIGIT),puttygen: 160MB memory leak while trying to extract openssh public key from crafted key file,hackerone.com/reports/484930,43,286.22
PuTTY (European Commission - DIGIT),puttygen: heap-buffer-overflow in mp_get_decimal(),hackerone.com/reports/482200,19,286.22
PuTTY (European Commission - DIGIT),heap-use-after-free (READ of size 8) in main(),hackerone.com/reports/481532,20,286.22
PuTTY (European Commission - DIGIT),"Assertion `len == 1' failed, process aborted while streaming ouput from remote server",hackerone.com/reports/495508,5,1137.83
PuTTY (European Commission - DIGIT),"Assertion `col &gt;= 0 &amp;&amp; col &lt; line-&gt;cols' failed, process aborted while streaming ouput from remote server",hackerone.com/reports/503821,3,283.83
WordPress,"plugins.trac.wordpress.org likely vulnerable to Cross Site Tracing (xst), TRACE HTTP method should be disabled",hackerone.com/reports/222692,50,150.0
Dropbox,avrecode: global-buffer-overflow in get_neighbor(),hackerone.com/reports/218966,10,0.0
PHP (IBB),wddx_deserialize use-after-free,hackerone.com/reports/170144,14,500.0
New Relic,[Bypass] Code injection to open redirect in https://insights.newrelic.com/accounts/2521182/dashboards/1026927,hackerone.com/reports/727368,7,0.0
New Relic,The impossibility of inclusion of the trial (BROWSER),hackerone.com/reports/460428,26,200.0
Shopify,H1514 Stored XSS on Wholesale sales channel allows cross-organization data leakage,hackerone.com/reports/423454,18,1000.0
SEMrush,Code injection in https://www.semrush.com,hackerone.com/reports/723707,16,500.0
curl,Active Mixed Content over HTTPS,hackerone.com/reports/640532,2,0.0
curl,Insecure Frame (External),hackerone.com/reports/640530,1,0.0
Twitter,Viral Direct Message Clickjacking via link truncation leading to capture of both Google credentials &amp; installation of malicious 3rd party Twitter App,hackerone.com/reports/643274,64,1120.0
Rocket.Chat,Open redirect open.rocket.chat/file-upload/ID/filename.svg,hackerone.com/reports/368927,8,0.0
PHP (IBB),wddx_deserialize allows illegal memory access,hackerone.com/reports/161200,2,500.0
PHP (IBB),wddx_deserialize null dereference,hackerone.com/reports/161216,1,500.0
PHP (IBB),pass2_no_dither out-of-bounds access,hackerone.com/reports/146940,5,500.0
PHP (IBB),gdImageTrueColorToPaletteBody allows arbitrary write/read access,hackerone.com/reports/153776,1,500.0
PHP (IBB),select_colors write out-of-bounds,hackerone.com/reports/161189,22,1000.0
PHP (IBB),imap_rfc822_parse_headers GS Violation,hackerone.com/reports/170260,2,500.0
PHP (IBB),Illegal write/read access caused by gdImageAALine overflow,hackerone.com/reports/182420,7,500.0
PHP (IBB),imagescale out-of-bounds read,hackerone.com/reports/141202,1,500.0
Grammarly,Lack of CSRF header validation at https://g-mail.grammarly.com/profile,hackerone.com/reports/629892,114,750.0
Vend,Open Redirect in the Path of vendhq.com,hackerone.com/reports/692154,5,0.0
Central Security Project,Unrestricted File Upload Leading to Remote Code Execution,hackerone.com/reports/683965,7,0.0
Mail.ru,touch.mail.ru / e.mail.ru memory content disclosure,hackerone.com/reports/513236,317,10000.0
Central Security Project,OS Command Injection in Nexus Repository Manager 2.x(bypass CVE-2019-5475),hackerone.com/reports/688270,32,0.0
Razer,Unauthenticated access to sensitive user information,hackerone.com/reports/702677,161,500.0
Kartpay,Referer issue in Kartpay.com,hackerone.com/reports/683925,10,0.0
Mail.ru,[XSS] postMessage в jsapi/button,hackerone.com/reports/503707,32,500.0
Weblate,no captcha for register user and weak question attacker can spam email,hackerone.com/reports/236398,26,0.0
Zendesk,SMTP user enumeration via mail.zendesk.com,hackerone.com/reports/193314,16,50.0
Zendesk,"""Test target"" of the ""HTTP target"" extension can unintentionally send username and password in the Authorization header",hackerone.com/reports/536669,11,100.0
HackerOne,"Reporter, external users, collaborators can mark sent swag awarded to reporter as unsent",hackerone.com/reports/717729,64,0.0
Mail.ru,Reflected XSS in https://light.mail.ru/login via page,hackerone.com/reports/502016,74,500.0
SEMrush,Open redirect in semrush.com,hackerone.com/reports/716976,22,150.0
Moneybird,Enable 2FA without verifying the email,hackerone.com/reports/649533,99,100.0
Ruby,HTTP header can split /[\r\n]/ instead of /\r\n/,hackerone.com/reports/331984,1,0.0
Perl (IBB),Heap-buffer-overflow in Perl__byte_dump_string (utf8.c) could lead to memory leak,hackerone.com/reports/480778,4,500.0
Node.js third-party modules,Command Injection due to lack of sanitisation of tar.gz filename passed as an argument to pm2.install(),hackerone.com/reports/630227,3,0.0
